category_name,polarity,subjectivity,negative,neutral,positive,total_posts,positive_pct,neutral_pct,negative_pct
Action & Adventure,0.28988621332371334,0.558924062049062,0,1,5,6,83.33333333333334,16.666666666666664,0.0
Comedy,0.31708588286713285,0.5888878482628482,1,1,50,52,96.15384615384616,1.9230769230769231,1.9230769230769231
Documentary & Educational,0.29630790573805277,0.6052368175805676,0,5,131,136,96.32352941176471,3.6764705882352944,0.0
Drama & Romance,0.28720983645983644,0.589821608946609,0,2,8,10,80.0,20.0,0.0
Horror & Thriller,0.0732088393208523,0.3682499859447912,0,20,2,22,9.090909090909092,90.9090909090909,0.0
Sci-Fi & Fantasy,0.2011770399096788,0.4741037566471594,0,17,55,72,76.38888888888889,23.61111111111111,0.0
