category_name,unique_topics,total_posts,polarity,topic_count,reply_count,replies_per_topic,engagement_score,engagement_rank
Action & Adventure,4,6,0.2898862133237133,4,2,0.5,0.5466356801559007,2.0
Comedy,48,52,0.31708588286713285,48,4,0.08333333333333333,0.3513164314239682,5.0
Documentary & Educational,132,136,0.29630790573805277,132,4,0.030303030303030304,0.5538732148162295,1.0
Drama & Romance,7,10,0.28720983645983644,7,3,0.42857142857142855,0.5009898912090088,3.0
Horror & Thriller,20,22,0.0732088393208523,20,2,0.1,0.2520267662850264,6.0
Sci-Fi & Fantasy,69,72,0.20117703990967878,69,3,0.043478260869565216,0.36666501856897304,4.0
