category,avg_sentiment,median_sentiment,std_sentiment,topic_count,pct_positive
Action & Adventure,0.98837274,0.99421498,0.016295343273211523,4,100.0
Comedy,0.9990719647916667,0.9997744,0.0010335098871774603,48,100.0
Documentary & Educational,0.8806368427698484,0.99955815,0.276670565150321,132,90.15151515151516
Drama & Romance,0.8572725576142857,0.99977654,0.37559206192706895,7,85.71428571428571
Horror & Thriller,0.7914012414180001,0.83682364,0.21278166870725693,20,90.0
Sci-Fi & Fantasy,0.9695147619855071,0.99937856,0.1663785478946516,69,97.10144927536231
